PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,IMP_STOR,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,LIME_CAL_PROD,,,,2018,,,,,,0.2436
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,LIME_CAL_PROD,,,,2019,,,,,,0.3239
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,LIME_CAL_PROD,,,,2020,,,,,,0.4235
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,LIME_CAL_PROD,,,,2021,,,,,,0.4008
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,LIME_CAL_PROD,,,,2022,,,,,,0.4703
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,LIME_CAL_PROD,,,,2023,,,,,,0.4882
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,LIME_CAL_PROD,,,,2024,,,,,,0.5068
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,LIME_CAL_PROD,,,,2025,,,,,,0.526
TotalTechnologyAnnualActivityUpperLimit,BAU,GUA,LIME_CAL_PROD,,,,2026,,,,,,0.546
